DayName,Hour,Total Crashes
Friday,0,439
Friday,1,202
Friday,2,153
Friday,3,112
Friday,4,117
Friday,5,178
Friday,6,317
Friday,7,385
Friday,8,651
Friday,9,645
Friday,10,561
Friday,11,604
Friday,12,658
Friday,13,704
Friday,14,826
Friday,15,790
Friday,16,881
Friday,17,816
Friday,18,806
Friday,19,634
Friday,20,580
Friday,21,478
Friday,22,435
Friday,23,435
Monday,0,386
Monday,1,202
Monday,2,126
Monday,3,112
Monday,4,118
Monday,5,142
Monday,6,313
Monday,7,407
Monday,8,593
Monday,9,554
Monday,10,561
Monday,11,574
Monday,12,606
Monday,13,639
Monday,14,684
Monday,15,698
Monday,16,751
Monday,17,741
Monday,18,666
Monday,19,498
Monday,20,378
Monday,21,328
Monday,22,278
Monday,23,223
Saturday,0,536
Saturday,1,335
Saturday,2,260
Saturday,3,238
Saturday,4,217
Saturday,5,183
Saturday,6,197
Saturday,7,228
Saturday,8,329
Saturday,9,332
Saturday,10,408
Saturday,11,491
Saturday,12,552
Saturday,13,757
Saturday,14,727
Saturday,15,611
Saturday,16,675
Saturday,17,634
Saturday,18,631
Saturday,19,573
Saturday,20,497
Saturday,21,466
Saturday,22,448
Saturday,23,425
Sunday,0,529
Sunday,1,327
Sunday,2,289
Sunday,3,268
Sunday,4,241
Sunday,5,201
Sunday,6,185
Sunday,7,174
Sunday,8,244
Sunday,9,254
Sunday,10,365
Sunday,11,420
Sunday,12,475
Sunday,13,547
Sunday,14,634
Sunday,15,552
Sunday,16,587
Sunday,17,563
Sunday,18,551
Sunday,19,485
Sunday,20,426
Sunday,21,371
Sunday,22,381
Sunday,23,304
Thursday,0,395
Thursday,1,144
Thursday,2,119
Thursday,3,80
Thursday,4,121
Thursday,5,152
Thursday,6,316
Thursday,7,447
Thursday,8,683
Thursday,9,595
Thursday,10,600
Thursday,11,619
Thursday,12,635
Thursday,13,645
Thursday,14,730
Thursday,15,695
Thursday,16,822
Thursday,17,782
Thursday,18,713
Thursday,19,566
Thursday,20,462
Thursday,21,403
Thursday,22,350
Thursday,23,286
Tuesday,0,335
Tuesday,1,135
Tuesday,2,89
Tuesday,3,96
Tuesday,4,80
Tuesday,5,159
Tuesday,6,294
Tuesday,7,438
Tuesday,8,648
Tuesday,9,584
Tuesday,10,532
Tuesday,11,576
Tuesday,12,584
Tuesday,13,603
Tuesday,14,726
Tuesday,15,659
Tuesday,16,805
Tuesday,17,753
Tuesday,18,700
Tuesday,19,514
Tuesday,20,452
Tuesday,21,328
Tuesday,22,340
Tuesday,23,266
Wednesday,0,374
Wednesday,1,155
Wednesday,2,131
Wednesday,3,110
Wednesday,4,105
Wednesday,5,176
Wednesday,6,260
Wednesday,7,410
Wednesday,8,568
Wednesday,9,513
Wednesday,10,527
Wednesday,11,573
Wednesday,12,591
Wednesday,13,608
Wednesday,14,747
Wednesday,15,732
Wednesday,16,761
Wednesday,17,751
Wednesday,18,695
Wednesday,19,525
Wednesday,20,403
Wednesday,21,381
Wednesday,22,369
Wednesday,23,267
